ticket_id,employee_id,category,priority,status,engineer_id,created_at,assigned_at,resolved_at,resolution_notes
T0001,E011,Network,Medium,Resolved,IT001,2026-04-13 03:18:00,2026-04-13 06:18:00,2026-04-13 20:18:00,Network adapter restarted
T0002,E025,Access,Medium,In Progress,IT002,2026-06-04 01:44:00,2026-06-04 05:44:00,,
T0003,E020,Access,Critical,Resolved,IT003,2026-06-18 07:03:00,2026-06-18 09:03:00,2026-06-19 22:03:00,Account unlocked
T0004,E043,Access,High,Resolved,IT001,2026-01-10 03:50:00,2026-01-10 07:50:00,2026-01-12 02:50:00,User permission updated
T0005,E036,Access,High,Resolved,IT003,2026-02-11 06:53:00,2026-02-11 08:53:00,2026-02-12 00:53:00,Access restored
T0006,E035,Access,Medium,Resolved,IT004,2026-07-26 05:13:00,2026-07-26 07:13:00,2026-07-26 19:13:00,Account unlocked
T0007,E044,Access,Critical,Resolved,IT005,2026-06-05 03:29:00,2026-06-05 05:29:00,2026-06-05 16:29:00,User permission updated
T0008,E023,Network,High,Resolved,IT005,2026-08-27 05:34:00,2026-08-27 06:34:00,2026-08-28 23:34:00,Wi-Fi connection fixed
T0009,E026,Hardware,Critical,Resolved,IT004,2026-05-16 02:16:00,2026-05-16 06:16:00,2026-05-18 03:16:00,Hardware component replaced
T0010,E040,Network,High,Open,IT002,2026-03-18 00:19:00,2026-03-18 01:19:00,,
T0011,E019,Network,High,Resolved,IT002,2026-02-20 06:50:00,2026-02-20 08:50:00,2026-02-20 12:50:00,Wi-Fi connection fixed
T0012,E029,Network,Medium,In Progress,IT002,2026-05-26 02:47:00,2026-05-26 02:47:00,,
T0013,E025,Access,Low,Resolved,IT003,2026-03-07 01:42:00,2026-03-07 01:42:00,2026-03-07 07:42:00,User permission updated
T0014,E011,Network,Medium,Open,IT005,2026-07-30 07:36:00,2026-07-30 09:36:00,,
T0015,E022,Network,High,Resolved,IT001,2026-05-23 03:28:00,2026-05-23 07:28:00,2026-05-24 18:28:00,Internet connectivity restored
T0016,E015,Network,Critical,Resolved,IT005,2026-08-14 03:32:00,2026-08-14 04:32:00,2026-08-15 17:32:00,Network adapter restarted
T0017,E025,Hardware,Medium,Resolved,IT005,2026-02-11 02:21:00,2026-02-11 06:21:00,2026-02-13 03:21:00,Hardware component replaced
T0018,E032,Software,Critical,Resolved,IT001,2026-02-25 01:58:00,2026-02-25 05:58:00,2026-02-26 11:58:00,Outlook repaired
T0019,E045,Network,Medium,Resolved,IT003,2026-01-09 08:11:00,2026-01-09 11:11:00,2026-01-11 05:11:00,Internet connectivity restored
T0020,E037,Network,Medium,Resolved,IT001,2026-04-24 08:40:00,2026-04-24 10:40:00,2026-04-26 01:40:00,Network adapter restarted
T0021,E024,Access,Low,Resolved,IT004,2026-02-04 06:56:00,2026-02-04 07:56:00,2026-02-05 07:56:00,Password reset
T0022,E011,Software,Low,In Progress,IT005,2026-03-04 01:32:00,2026-03-04 01:32:00,,
T0023,E047,Hardware,Low,Open,IT004,2026-06-17 01:44:00,2026-06-17 05:44:00,,
T0024,E012,Network,Critical,In Progress,IT005,2026-01-10 04:21:00,2026-01-10 05:21:00,,
T0025,E044,Hardware,Critical,Resolved,IT005,2026-06-02 03:54:00,2026-06-02 07:54:00,2026-06-02 11:54:00,Hardware component replaced
T0026,E047,Hardware,High,Open,IT005,2026-03-26 03:15:00,2026-03-26 05:15:00,,
T0027,E014,Hardware,Critical,Resolved,IT001,2026-04-04 07:34:00,2026-04-04 10:34:00,2026-04-05 05:34:00,Monitor cable replaced
T0028,E009,Access,Medium,Resolved,IT002,2026-07-25 05:51:00,2026-07-25 08:51:00,2026-07-27 08:51:00,Password reset
T0029,E050,Software,Low,Resolved,IT005,2026-01-15 08:59:00,2026-01-15 09:59:00,2026-01-17 05:59:00,Software updated
T0030,E046,Network,Critical,Resolved,IT005,2026-04-04 03:10:00,2026-04-04 04:10:00,2026-04-05 06:10:00,Network adapter restarted
T0031,E050,Access,Medium,Open,IT003,2026-04-20 05:11:00,2026-04-20 07:11:00,,
T0032,E018,Access,High,Resolved,IT004,2026-03-12 05:00:00,2026-03-12 08:00:00,2026-03-13 01:00:00,Account unlocked
T0033,E003,Network,High,Resolved,IT002,2026-05-11 04:34:00,2026-05-11 06:34:00,2026-05-11 10:34:00,Internet connectivity restored
T0034,E021,Software,High,Open,IT002,2026-02-04 06:27:00,2026-02-04 08:27:00,,
T0035,E023,Software,Medium,Resolved,IT001,2026-04-23 05:53:00,2026-04-23 06:53:00,2026-04-23 13:53:00,Outlook repaired
T0036,E023,Access,Medium,Resolved,IT001,2026-07-16 00:18:00,2026-07-16 02:18:00,2026-07-17 20:18:00,Access restored
T0037,E037,Hardware,Critical,Resolved,IT003,2026-01-26 01:52:00,2026-01-26 02:52:00,2026-01-26 11:52:00,Laptop issue fixed
T0038,E011,Software,Critical,Resolved,IT002,2026-04-28 05:05:00,2026-04-28 07:05:00,2026-04-28 18:05:00,Application reinstalled
T0039,E032,Access,Critical,Resolved,IT004,2026-07-01 07:22:00,2026-07-01 07:22:00,2026-07-02 11:22:00,User permission updated
T0040,E046,Access,High,Resolved,IT005,2026-06-06 05:28:00,2026-06-06 06:28:00,2026-06-06 12:28:00,Password reset
T0041,E043,Hardware,Critical,Resolved,IT003,2026-01-06 03:50:00,2026-01-06 05:50:00,2026-01-06 06:50:00,Monitor cable replaced
T0042,E050,Access,High,Resolved,IT001,2026-01-20 03:39:00,2026-01-20 05:39:00,2026-01-20 18:39:00,Account unlocked
T0043,E049,Hardware,Critical,Open,IT002,2026-02-09 01:50:00,2026-02-09 05:50:00,,
T0044,E020,Hardware,Medium,Resolved,IT003,2026-04-28 06:31:00,2026-04-28 07:31:00,2026-04-29 13:31:00,Hardware component replaced
T0045,E005,Access,Medium,Resolved,IT001,2026-07-30 02:10:00,2026-07-30 06:10:00,2026-08-01 02:10:00,User permission updated
T0046,E020,Hardware,Critical,Open,IT002,2026-03-27 00:36:00,2026-03-27 03:36:00,,
T0047,E046,Access,Medium,Resolved,IT001,2026-08-16 02:19:00,2026-08-16 05:19:00,2026-08-17 21:19:00,Password reset
T0048,E008,Access,Critical,Open,IT005,2026-03-30 07:06:00,2026-03-30 09:06:00,,
T0049,E007,Network,High,Resolved,IT001,2026-03-14 05:34:00,2026-03-14 06:34:00,2026-03-15 13:34:00,VPN configuration fixed
T0050,E020,Network,Low,In Progress,IT002,2026-08-02 02:28:00,2026-08-02 04:28:00,,
T0051,E028,Software,High,Open,IT002,2026-01-23 03:34:00,2026-01-23 06:34:00,,
T0052,E044,Access,Low,Resolved,IT002,2026-06-30 00:41:00,2026-06-30 03:41:00,2026-07-02 03:41:00,User permission updated
T0053,E011,Access,Medium,Resolved,IT002,2026-02-09 02:24:00,2026-02-09 05:24:00,2026-02-11 04:24:00,Access restored
T0054,E035,Access,Low,Resolved,IT002,2026-05-19 04:58:00,2026-05-19 07:58:00,2026-05-19 22:58:00,User permission updated
T0055,E038,Hardware,Medium,Resolved,IT003,2026-07-16 04:21:00,2026-07-16 06:21:00,2026-07-16 15:21:00,Monitor cable replaced
T0056,E033,Software,Low,Resolved,IT003,2026-06-04 04:40:00,2026-06-04 08:40:00,2026-06-06 03:40:00,Software updated
T0057,E039,Access,Low,Resolved,IT003,2026-06-15 03:44:00,2026-06-15 04:44:00,2026-06-16 12:44:00,Access restored
T0058,E001,Network,High,Resolved,IT005,2026-02-10 07:15:00,2026-02-10 11:15:00,2026-02-10 20:15:00,Wi-Fi connection fixed
T0059,E039,Access,Low,In Progress,IT002,2026-04-09 04:21:00,2026-04-09 06:21:00,,
T0060,E038,Access,Critical,Resolved,IT003,2026-06-25 03:23:00,2026-06-25 03:23:00,2026-06-26 06:23:00,Password reset
T0061,E037,Network,Critical,Resolved,IT004,2026-03-11 06:42:00,2026-03-11 06:42:00,2026-03-13 01:42:00,Internet connectivity restored
T0062,E041,Hardware,High,In Progress,IT003,2026-06-29 08:19:00,2026-06-29 08:19:00,,
T0063,E020,Network,Low,Resolved,IT003,2026-01-21 06:25:00,2026-01-21 09:25:00,2026-01-23 08:25:00,Wi-Fi connection fixed
T0064,E039,Access,Critical,In Progress,IT005,2026-06-08 01:55:00,2026-06-08 04:55:00,,
T0065,E020,Software,Low,In Progress,IT005,2026-04-10 02:12:00,2026-04-10 03:12:00,,
T0066,E017,Network,Medium,Resolved,IT003,2026-05-03 02:24:00,2026-05-03 06:24:00,2026-05-05 05:24:00,Wi-Fi connection fixed
T0067,E050,Network,High,In Progress,IT002,2026-05-31 01:08:00,2026-05-31 03:08:00,,
T0068,E050,Software,Medium,In Progress,IT005,2026-04-17 05:23:00,2026-04-17 07:23:00,,
T0069,E024,Hardware,Critical,In Progress,IT001,2026-08-28 03:20:00,2026-08-28 07:20:00,,
T0070,E048,Software,Medium,Resolved,IT003,2026-06-21 01:09:00,2026-06-21 02:09:00,2026-06-22 22:09:00,Application issue resolved
T0071,E006,Software,Critical,Resolved,IT005,2026-01-12 01:14:00,2026-01-12 04:14:00,2026-01-13 13:14:00,Software updated
T0072,E024,Hardware,High,Resolved,IT002,2026-08-15 02:18:00,2026-08-15 04:18:00,2026-08-16 14:18:00,Keyboard replaced
T0073,E016,Network,Low,Resolved,IT002,2026-02-25 00:54:00,2026-02-25 00:54:00,2026-02-26 02:54:00,Internet connectivity restored
T0074,E024,Access,Medium,Resolved,IT005,2026-06-17 00:53:00,2026-06-17 03:53:00,2026-06-18 19:53:00,Account unlocked
T0075,E001,Hardware,Critical,Resolved,IT002,2026-02-18 06:57:00,2026-02-18 07:57:00,2026-02-20 06:57:00,Monitor cable replaced
T0076,E023,Access,Low,Resolved,IT001,2026-02-12 01:46:00,2026-02-12 04:46:00,2026-02-13 16:46:00,Account unlocked
T0077,E035,Access,High,Open,IT005,2026-06-20 07:33:00,2026-06-20 11:33:00,,
T0078,E039,Network,High,Resolved,IT005,2026-08-09 05:22:00,2026-08-09 05:22:00,2026-08-10 19:22:00,Network adapter restarted
T0079,E033,Hardware,Medium,Resolved,IT002,2026-06-28 05:04:00,2026-06-28 07:04:00,2026-06-29 13:04:00,Hardware component replaced
T0080,E039,Software,High,Open,IT001,2026-08-05 00:57:00,2026-08-05 00:57:00,,
T0081,E037,Software,Critical,Resolved,IT005,2026-05-22 04:32:00,2026-05-22 05:32:00,2026-05-22 16:32:00,Outlook repaired
T0082,E043,Network,High,In Progress,IT005,2026-06-14 08:30:00,2026-06-14 11:30:00,,
T0083,E037,Hardware,Critical,Open,IT001,2026-02-24 00:58:00,2026-02-24 01:58:00,,
